id;date;details;status;payment_method;payment_date;payment_amount
1;2020-07-07T06:04:17;RAM Focused;PAID;CASH_ON_DELIVERY;2020-07-07T14:26:24;64379
2;2020-07-07T02:54:23;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-07-07T08:04:41;17323
3;2020-07-07T07:21:48;Incredible Baby;CANCELLED;PAYPAL;2020-07-07T10:53:29;11017
4;2020-07-07T04:51:43;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-07-07T04:55:51;51438
5;2020-07-06T23:31:51;function;PAID;PAYPAL;2020-07-07T16:05:56;32278
6;2020-07-07T00:31:39;action-items;CANCELLED;CASH_ON_DELIVERY;2020-07-07T14:18:51;5232
7;2020-07-07T17:18:22;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-07-07T10:55:44;62169
8;2020-07-07T03:13:26;Toys;ISSUED;PAYPAL;2020-07-07T13:51:23;10756
9;2020-07-07T04:43:51;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-07-07T18:27:24;58055
10;2020-07-07T03:21:36;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-07-07T15:47:47;94075
