id;placed_date;status;code
1;2020-07-07T13:26:17;COMPLETED;Georgia calculate withdrawal
2;2020-07-07T00:22:47;COMPLETED;compress Steel out-of-the-box
3;2020-07-07T01:53:59;PENDING;Concrete
4;2020-07-07T15:19:54;CANCELLED;Investment Account
5;2020-07-07T02:36:44;PENDING;United States of America
6;2020-07-07T16:48:48;CANCELLED;IB Industrial Credit Card Account
7;2020-07-07T19:55:13;CANCELLED;Cotton Egyptian Pound
8;2020-07-07T04:51:17;COMPLETED;Home Loan Account
9;2020-07-07T13:45:33;COMPLETED;Human
10;2020-07-06T23:54:11;CANCELLED;payment
